name,positions,rating,nationality,club,league
C. Espínola,RB,64,Paraguay,Nacional Asunción,Primera División
C. Esquivel,RM; LW,69,Mexico,Deportivo Toluca,Liga MX
C. Essam,CB,56,England,Crawley Town,League One
C. Essers,RB,62,Netherlands,Fortuna Sittard,Eredivisie
C. Estrada,GK,59,Mexico,Club América,Liga MX
C. Etoga,CDM; CM,56,Cameroon,Dijon FCO,Ligue 2
C. Euschen,ST,59,Germany,SV Wehen Wiesbaden,2. Bundesliga
C. Evans,CDM; CM,65,Northern Ireland,Blackburn Rovers,Championship
C. Evina,LB,61,Cameroon,Doncaster Rovers,League One
C. Ezeh,CDM,58,Nigeria,Lillestrøm SK,Eliteserien
C. Ezekwem,CB,60,Germany,Verl,3. Liga
C. Fagan,ST,60,Republic of Ireland,St. Patrick's Athletic,Premier Division
C. Fai,RB; LB,68,Cameroon,Standard de Liège,Jupiler Pro League
C. Falletti,RW; CAM,66,Uruguay,Ternana,Serie B
C. Fandrich,CAM; CM,62,Germany,RB Leipzig,2. Bundesliga
C. Fara,CB,58,Argentina,Club Atlético Aldosivi,Liga Profesional
C. Farren,ST,50,Northern Ireland,Derry City,Premier Division
C. Fassnacht,ST,57,Switzerland,FC Thun,Super League
C. Fath,CDM; CB,50,Germany,Kaiserslautern,3. Liga
C. Fauré,ST,65,France,Royal Charleroi S.C.,Jupiler Pro League
C. Faussot,CDM,60,France,Dijon,Ligue 1
C. Fauño,LB,69,Chile,San Luis de Quillota,Primera Division
C. Fawcett,LB,67,Colombia,Junior FC,Liga BetPlay
C. Fay,ST,47,Republic of Ireland,Longford Town,Premier Division
C. Fejér,GK,63,Romania,Sepsi OSK Sf. Gheorghe,Liga 1
C. Felek,CAM; CM,55,Azerbaijan,Aberdeen,Premiership
C. Fenninger,ST; CF,56,Germany,Bayreuth,3. Liga
C. Feraud,CDM; CM,66,Ecuador,Al Hazem,Pro League
C. Ferguson,ST,52,Canada,Inverness Caledonian Thistle,Premiership
C. Fermina,ST,57,Netherlands,Excelsior,Eredivisie
C. Fernandez,CM,47,United States,Chicago Fire Football Club,Major League Soccer
C. Fernándes Mejía,ST,62,Colombia,Uniautónoma FC,Liga BetPlay
C. Fernández,RW,65,Honduras,Fénix,Primera Division
C. Ferreira,CAM,59,Argentina,River Plate,Liga Profesional
C. Ferrie,GK,50,England,Dundee,Premiership
C. Field,CB,52,England,Portsmouth,League Two
C. Fierro,RW; ST; LW,67,Mexico,Club Deportivo Guadalajara,Liga MX
C. Fileppi,LM,56,Argentina,Crucero del Norte,Liga Profesional
C. Finch,CB,52,Chile,Universidad Católica,Primera Division
C. Finney,CM,53,England,Crewe Alexandra,League Two
C. Fiore,CB,56,Belgium,Standard de Liège,Jupiler Pro League
C. Fitzpatrick,ST,46,Republic of Ireland,Drogheda United,Premier Division
C. Flanagan,CM,48,Republic of Ireland,Derry City,Premier Division
C. Fleming,RB,50,Republic of Ireland,Cork City,Premier Division
C. Flores,GK,66,Venezuela,Caracas,Primera Division
C. Flórez,LB; CB,56,Colombia,Rayo Vallecano,La Liga
C. Fogacci,GK,57,France,GFC Ajaccio,Ligue 2
C. Forino,CB,63,England,Wycombe Wanderers,League One
C. Forino-Joseph,CB,51,England,Colchester United,League Two
C. Forrester,LM; RM; CAM,60,Republic of Ireland,St. Patrick's Athletic,Premier Division
C. Forsyth,LB,67,Scotland,Derby County,Championship
C. Fox,CB,57,England,Wycombe Wanderers,League One
C. Fraga,GK,52,Venezuela,Llaneros de Guanare,Primera Division
C. Franco,ST,60,Uruguay,Cerro Largo Fútbol Club,Primera Division
C. Freitag,CDM,58,Austria,SC Magna Wiener Neustadt,Bundesliga
C. Friedrich,RWB; RB,55,Denmark,Brøndby,Superliga
C. Frimpong,CB; RB,55,Ghana,Swindon Town,League One
C. Fritz,RB; CDM; RM; LB,73,Germany,SV Werder Bremen,Bundesliga
C. Frommann,GK,60,Germany,Sport-Club Freiburg,Bundesliga
C. Froschauer,GK,53,United States,Colorado Rapids,Major League Soccer
C. Früchtl,GK,58,Germany,FC Bayern München,Bundesliga
C. Frýdek,CAM,61,Czech Republic,Sparta Praha,Fortuna Liga
C. Frăsinescu,CB,65,Romania,CSM Politehnica Iași,Liga 1
C. Fuchs,LB; LM,73,Austria,FC Schalke 04,Bundesliga
C. Fuentes,CM; CDM; RB,68,Chile,CD O'Higgins,Primera Division
C. Furlong,CAM; ST,59,England,Milton Keynes Dons,League One
C. Führich,CM; LM; RM,63,Germany,FC Köln,Bundesliga
C. Gaitán,RM; CM; RB,66,Argentina,CD Cobreloa,Primera Division
C. Gakpo,LW; RW,62,Netherlands,PSV,Eredivisie
C. Galano,RW,72,Italy,Bari,Serie B
C. Gallagher,GK,52,Republic of Ireland,Derry City,Premier Division
C. Gallardo,RW; RM,59,Ecuador,Barcelona Sporting Club,Liga Pro
C. Gallego,LB,51,Colombia,Jaguares de Córdoba Fútbol Club,Liga BetPlay
C. Galvin,LM; CM,55,Republic of Ireland,Bray Wanderers,Premier Division
C. Gamboa,RB,71,Costa Rica,West Bromwich Albion,Premier League
C. Gameiro,ST; RW,61,Australia,Sydney FC,A-League
C. Gammelgaard,RM,53,Denmark,Vejle Boldklub,Superliga
C. Gandara,CB,58,Mexico,Juárez,Liga MX
C. Ganea,LB; LM,66,Romania,,
C. Garcia,ST,53,United States,Real Salt Lake,Major League Soccer
C. Garcés,ST,64,Ecuador,,
C. García,ST,65,Argentina,CD Tenerife,La Liga 2
C. Gardner,CM; RB,74,England,West Bromwich Albion,Premier League
C. Garel,GK,58,France,Stade de Reims,Ligue 1
C. Gartner,CDM; CM,64,Austria,Fortuna Düsseldorf,2. Bundesliga
C. Gasper,CB,51,United States,Minnesota United,Major League Soccer
C. Gasser,CB,56,Switzerland,St. Gallen,Super League
C. Gatter,CB,51,England,Burton Albion,Championship
C. Gauseth,ST; CM,62,Norway,Mjøndalen IF,Eliteserien
C. Gavilán,CAM; ST,52,Paraguay,General Caballero JLM,Primera División
C. Gavra,ST,58,Romania,Academica Clinceni,Liga 1
C. Gayle,RB; LB; CB,58,England,Shrewsbury Town,League Two
C. Gazale,ST,66,Chile,Santiago Wanderers,Primera Division
C. Gazalio,ST,65,Chile,Coquimbo Unido,Primera Division
C. Gaínza,CAM,60,Chile,Deportes Iquique,Primera Division
C. Gbadebo,CB,54,England,Colchester United,League Two
C. Gbo,CDM,60,Côte d'Ivoire,Oud-Heverlee Leuven,Jupiler Pro League
C. Gebauer,RM; RW; LM,62,Austria,SC Rheindorf Altach,Bundesliga
C. Gedsted,RB; RWB,54,Denmark,AaB,Superliga
C. Geist,GK,60,Argentina,Unión de Santa Fe,Liga Profesional
C. Gentner,CM; CDM,78,Germany,VfB Stuttgart,Bundesliga
C. Georges,RM; LM,57,Sweden,Sirius,Allsvenskan
C. GiUng,ST,52,Italy,Cork City,Premier Division
C. Gill,ST,49,England,Exeter City,League Two
C. Gilligan,CM,56,England,Burton Albion,League One
C. Gilmour,CM; CDM,54,Scotland,Arsenal,Premier League
C. Giménez,CAM; LM; RM,71,Mexico,Cruz Azul,Liga MX
C. Giousis,CAM; RM,65,Greece,AEK Athens,Super League
C. Giraldo,CDM,66,Colombia,Once Caldas,Liga BetPlay
C. Giuliani,GK,54,Austria,SK Sturm Graz,Bundesliga
C. Gleeson,GK,52,Republic of Ireland,Galway United,Premier Division
C. Gliga,RM; RW,62,Romania,Academica Clinceni,Liga 1
C. Glombard,RB; RM,68,Benin,Stade de Reims,Ligue 1
C. Gloster,LB,60,United States,New York City,Major League Soccer
C. Gnerlich,CDM,49,Germany,SV Meppen,3. Liga
C. Goddard,LM,54,Japan,Tottenham Hotspur,Premier League
C. Gogoua,CB,69,Côte d'Ivoire,CSKA Moskva,Rest of World
C. Goldson,CB; RB,61,England,Shrewsbury Town,League Two
C. Golofca,LW; RW,70,Romania,FC Botoşani,Liga 1
C. Gomes,CDM; CM,66,France,Manchester City,Premier League
C. Gomez,ST,55,Benin,Amiens SC,Ligue 2
C. Gomina,LW,62,Ghana,Moreirense,Liga Portugal
C. Gominah,LW,57,Ghana,Moreirense FC,Liga Portugal
C. Goncalves,CM,58,France,Clermont Foot 63,Ligue 2
C. Gondo,ST,59,Côte d'Ivoire,Ternana,Serie B
C. Gonzado,CM; RW; RM; CAM,68,Venezuela,,
C. Gonzales,CM; LM,67,Peru,Colo-Colo,Primera Division
C. Gonzalez,GK,68,Chile,Unión La Calera,Primera Division
C. Gonzáles,LM,66,Peru,,
C. González,RW,59,Chile,CD O'Higgins,Primera Division
C. González Tassano,CB,66,Uruguay,Santa Clara,Liga Portugal
C. Gonçalves,CDM,64,France,AC Ajaccio,Ligue 2
C. Good,CB; LB,61,Australia,Newcastle United,Premier League
C. Goode,CB; RB,54,England,Scunthorpe United,League One
C. Goodson,CB,70,United States,San Jose Earthquakes,Major League Soccer
C. Goodwin,LM; LB,62,Australia,Newcastle Jets,A-League
C. Gordon,GK,70,Scotland,Celtic,Premiership
C. Gorgerino,LB,56,Argentina,Belgrano de Córdoba,Liga Profesional
C. Gormley,CAM,49,Republic of Ireland,Derry City,Premier Division
C. Gortemaker,CB; LB,58,Netherlands,Heracles Almelo,Eredivisie
C. Goslin,CM; CAM,56,United States,Atlanta United,Major League Soccer
C. Goteni,CB,54,France,Grenoble Foot 38,Ligue 2
C. Grainger,GK,49,England,Leyton Orient,League One
C. Grameni,CDM; CM,58,Romania,SSC Farul,Liga 1
C. Granger,LB,50,Scotland,Hamilton Academical FC,Premiership
C. Grant,CDM,57,England,Everton,Premier League
C. Gratzei,GK,64,Austria,SK Sturm Graz,Bundesliga
C. Gravius,CM,52,Sweden,AIK,Allsvenskan
C. Greaves,RM,53,England,Chesterfield,League One
C. Grecu,LB,61,Romania,,
C. Green,LM; LB,50,England,Mansfield Town,League Two
C. Greger,CB; LB,55,Germany,SpVgg Unterhaching,3. Liga
C. Gregory,GK,54,England,Shrewsbury Town,League One
C. Grenier,CAM; CM,77,France,Olympique Lyonnais,Ligue 1
C. Gribbin,CAM; LW; RW,64,England,Manchester United,Premier League
C. Grindheim,CM; CDM,67,Norway,Vålerenga Fotball,Eliteserien
C. Grogan,CB,53,England,Shrewsbury Town,League One
C. Grosman,CM; CDM,54,United States,Stabæk Fotball,Eliteserien
C. Grossman,CDM; CM,60,United States,Real Salt Lake,Major League Soccer
C. Grossmüller,CM; CAM,72,Uruguay,Sandefjord Fotball,Eliteserien
C. Groß,CDM; CB,67,Germany,VfL Osnabrück,3. Liga
C. Gruezo,CDM; CM,70,Ecuador,VfB Stuttgart,Bundesliga
C. Guanca,ST,57,Argentina,Club Atlético Colón,Liga Profesional
C. Guedjé,ST,51,Togo,St. Patrick's Athletic,Premier Division
C. Guerra,GK,57,Chile,Unión Española,Primera Division
C. Guerrero,CDM; CM,59,Mexico,León,Liga MX
C. Gugu,CB,62,Romania,Le Havre AC,Ligue 2
C. Gunner,CM,50,England,Bradford City,League One
C. Gunter,RB,69,Wales,Reading,Championship
C. Gustafsson,CM; CDM,65,Sweden,IK Sirius,Allsvenskan
C. Gutiérrez,LB,62,Chile,Colo-Colo,Primera Division
C. Guy,CM,52,England,Derby County,Championship
C. Guzmán,CB; LB; RB,66,Mexico,Monarcas Morelia,Liga MX
C. Gyeboaho,CM,59,France,Grenoble Foot 38,Ligue 2
C. Gyeltshen,LM; LW; ST,63,Bhutan,Kerala Blasters FC,Super League
C. Gytkjær,ST,68,Denmark,FK Haugesund,Eliteserien
C. Gómez,CAM,68,Argentina,Nueva Chicago,Liga Profesional
C. Góngora,CM; CDM; RM,60,Bolivia,Guabirá,Liga De Futbol Prof
C. Göbel,LM; LB,64,Germany,FSV Zwickau,3. Liga
C. Gönen,GK,74,Turkey,Beşiktaş JK,Super Lig
C. Gülselam,CDM; CB,70,Turkey,Hannover 96,Bundesliga
C. Günter,LB,70,Germany,Sport-Club Freiburg,Bundesliga
C. Güvenç,CB; RB,66,Turkey,Çaykur Rizespor,Super Lig
C. Găină,CB,61,Romania,FC Academica Clinceni,Liga 1
C. Haas,GK,55,Austria,SK Rapid Wien,Bundesliga
C. Hackett,RM; RW,60,England,Northampton Town,League Two
C. Hagan,ST,54,England,Wycombe Wanderers,League One
C. Halkett,CB,48,Scotland,Rangers FC,Rest of World
C. Hall,LM,48,England,Plymouth Argyle,League Two
C. Hallisey,CM,48,United States,Sporting Kansas City,Major League Soccer
C. Hallwood,GK,44,England,Bradford City,League One
C. Halper,CAM,61,Austria,Mattersburg,Bundesliga
C. Halucha,RB,58,France,LOSC Lille,Ligue 1
C. Hamilton,LM,53,England,Sheffield United,League One
C. Hammell,CM,51,England,Carlisle United,League Two
C. Handke,CB,65,Germany,1. FC Magdeburg,3. Liga
C. Hansen,CB,61,Norway,Sandefjord Fotball,Eliteserien
C. Harenbrock,CAM,63,Germany,Rot-Weiss Essen,3. Liga
C. Harfas,CDM; CM,54,Romania,Gaz Metan Mediaş,Liga 1
C. Hargreaves,CM,50,England,Bristol Rovers,League One
C. Harkin,CM,47,Northern Ireland,Derry City,Premier Division
C. Haro,ST,55,Mexico,Jaguares de Chiapas,Liga MX
C. Harold,RW; ST; LW,57,Australia,Perth Glory,A-League
C. Harper,RW; ST; CF,59,United States,Celtic,Premiership
C. Harries,CB; LB,52,Wales,Coventry City,League One
C. Harriott,LM,60,England,Charlton Athletic,Championship
C. Harris,CM,51,England,Brighton & Hove Albion,Championship
C. Harrison,CM; CDM,50,England,Colchester United,League One
C. Harvey,GK,45,England,Plymouth Argyle,League Two
C. Hauervig,GK,52,Denmark,Brøndby,Superliga
C. Hauge,GK,50,Denmark,Viborg FF,Superliga
C. Hawkins,GK,48,England,Burton Albion,League One
C. Haydar,CB,57,Colombia,Junior,Liga BetPlay
C. Hayes,LM; ST,50,England,Fleetwood Town,League One
C. Hazard,GK,59,Northern Ireland,,
C. Healy,CM; RB,62,Republic of Ireland,Cork City,Premier Division
C. Heaney,LW; LB,50,Republic of Ireland,Sligo Rovers,Premier Division
C. Heath,CM,48,England,Crewe Alexandra,League Two
C. Hegardt,CM,52,United States,Charlotte,Major League Soccer
C. Heim,GK,48,Switzerland,Zürich,Super League
C. Heimeroth,GK,68,Germany,Borussia Mönchengladbach,Bundesliga
C. Hellmann,LM; LB,50,Germany,Vancouver Whitecaps FC,Major League Soccer
C. Hemlein,RM; RW,67,Germany,DSC Arminia Bielefeld,2. Bundesliga
C. Henao,CB,56,Colombia,Patriotas Boyacá FC,Liga BetPlay
C. Henderson,CM; CAM,61,Republic of Ireland,Crawley Town,League One
C. Hendry,ST,57,Scotland,St. Johnstone FC,Premiership
C. Hengbart,CB; RB,71,France,AC Ajaccio,Ligue 2
C. Herc,CM; CAM,64,Slovakia,FC Viktoria Plzeň,Fortuna Liga
C. Herd,CB; CDM; RB,70,Australia,Aston Villa,Premier League
C. Herdili,GK,52,Turkey,Yeni Malatyaspor,Super Lig
C. Hernandez,ST,55,Mexico,Philadelphia Union,Major League Soccer
C. Herrera,LB; LM; LWB,62,Chile,Club de Deportes Cobresal,Primera Division
C. Herrmann,ST,62,Germany,VfL Wolfsburg,Bundesliga
C. Hidalgo,ST,61,Colombia,Deportivo Pasto,Liga BetPlay
C. Higuera,GK,58,Mexico,Tijuana,Liga MX
C. Higuita,RM,62,Colombia,Deportivo Cali,Liga BetPlay
C. Hill,CB; LB,71,England,Queens Park Rangers,Premier League
C. Hinestroza,LB,61,Colombia,Patriotas Boyacá FC,Liga BetPlay
C. Hlistei,LM,63,Romania,Rapid Bucuresti,Liga 1
C. Hoefkens,CB; RB,67,Belgium,KV Oostende,Jupiler Pro League
C. Hoffman,ST,60,United States,LA Galaxy,Major League Soccer
C. Holenstein,RM; LM; CM,60,Switzerland,FC Luzern,Super League
C. Hollman,LM; CM,54,Australia,Sydney FC,A-League
C. Holse,RM; LM; ST,52,Denmark,F.C. København,Superliga
C. Horam,CAM; RM,50,India,Mumbai City FC,Super League
C. Horgan,RB; LB,57,Republic of Ireland,Galway United,Premier Division
C. Horlock,GK,45,England,Wycombe Wanderers,League Two
C. Horneman,RW; LW,56,Denmark,OB,Superliga
C. Horton,GK,54,England,Cardiff City,Championship
C. Horváth,CB,63,Slovakia,Piast Gliwice,Ekstraklasa
C. Hountondji,CB,66,France,La Berrichonne de Châteauroux,Ligue 2
C. Hourihane,CM,61,Republic of Ireland,Barnsley,League One
C. Howarth,CB,51,Scotland,Inverness Caledonian Thistle,Premiership
C. Howe,CB,54,England,Scunthorpe United,League One
C. Howieson,CAM; CM,62,New Zealand,Burnley,Premier League
C. Huanca,ST,58,Chile,Deportes Iquique,Primera Division
C. Hubble,CM; CAM,52,England,Colchester United,League One
C. Hudnott,GK,52,England,Queens Park Rangers,Championship
C. Hudson-Odoi,CAM; LW; RW,63,England,Chelsea,Premier League
C. Huerta,ST,61,Mexico,Club Deportivo Guadalajara,Liga MX
C. Hughes,CM,50,Republic of Ireland,St Patrick's,Premier Division
C. Hulme,CAM; CM,54,England,Bury,League Two
C. Humphrey,RM; RWB,64,Jamaica,Preston North End,League One
C. Humphreys,CB; RB,60,England,Manchester City,Premier League
C. Humphreys-Grant,CB; RB,60,England,Manchester City,Premier League
C. Hunt,GK,45,England,Blackpool,Championship
C. Hunte,LM; CAM,53,England,Wolverhampton Wanderers,Championship
C. Hussey,LB; LM; LWB,62,England,Bury,League Two
C. Huérfano,RM,55,Colombia,Millonarios,Liga BetPlay
C. Hyland,GK,50,Republic of Ireland,Shamrock Rovers,Premier Division
C. Häusl,CB; CDM; RB,59,Germany,SG Sonnenhof Großaspach,3. Liga
C. Hérelle,RB; CB,63,France,US Créteil-Lusitanos,Ligue 2
C. Höjer Nielsen,LB,55,Denmark,Lyngby BK,Superliga
C. Højer,LB,60,Denmark,Lyngby BK,Superliga
C. Højer Nielsen,LB,60,Denmark,Lyngby,Superliga
C. I'Anson,CB,62,England,AD Alcorcón,La Liga 2
C. Ianu,ST; CF; CAM,64,Romania,FC Luzern,Super League
C. Ibargüen,ST,67,Colombia,Cortuluá,Liga BetPlay
C. Ibarra,LB,59,Argentina,Club Atlético Colón,Liga Profesional
C. Ibañez,LB,56,Argentina,Huracán,Liga Profesional
C. Ibáñez,RB; LB,64,Mexico,Santos Laguna,Liga MX
C. Ignat,CB; CDM,56,Moldova,Rapid Bucuresti,Liga 1
C. Ikeme,GK,70,Nigeria,Wolverhampton Wanderers,Championship
C. Ikonomidis,LM,66,Australia,Western Sydney Wanderers,A-League
C. Ilic,LB; LM,60,Croatia,TSV Egger Glas Hartberg,Bundesliga
C. Ilić,LM; LW; LB,65,Croatia,Motherwell,Premiership
C. Immobile,ST,80,Italy,Borussia Dortmund,Bundesliga
C. Insaurralde,ST,63,Argentina,CD O'Higgins,Primera Division
C. Ion,CB,53,Romania,Astra,Liga 1
C. Ioniță,RB,53,Romania,FC Academica Clinceni,Liga 1
C. Irobiso,ST,65,Nigeria,SC Farense,Liga Portugal
C. Irving,GK,54,Canada,Houston Dynamo,Major League Soccer
C. Irwin,GK,65,United States,Colorado Rapids,Major League Soccer
C. Israel,CAM,57,Argentina,Club Atlético Sarmiento,Liga Profesional
C. Itandje,GK,69,Cameroon,PAOK,Super League
C. Itten,ST,54,Switzerland,FC Basel 1893,Super League
C. Itu,CM,61,Romania,CFR Cluj,Liga 1
C. Ivanobski,RW; RM; ST,64,Argentina,AC Barnechea,Primera Division
C. Iwasa,ST,58,United States,Sporting Kansas City,Major League Soccer
C. Izquierdoz,CB,71,Argentina,Santos Laguna,Liga MX
C. Jacob,CDM; CB,57,France,Stade Brestois 29,Ligue 2
C. Jacquart,CAM; CM,53,England,AFC Wimbledon,League Two
C. Jahraldo-Martin,ST,56,Antigua and Barbuda,Hull City,Premier League
C. Jakobsen,RW,58,Denmark,Brøndby IF,Superliga
C. Jallet,RB,75,France,Olympique Lyonnais,Ligue 1
C. James,CAM; CM,59,New Zealand,,
C. Jampies,LB; RB,65,South Africa,,
C. Jan,GK,56,France,Nantes,Ligue 1
C. Jander,CAM,54,Germany,MSV Duisburg,3. Liga
C. Janker,CB; RB,66,Germany,Hertha BSC,Bundesliga
C. Janssens,LB; CB,56,Belgium,KRC Genk,Jupiler Pro League
C. Jean,ST; LW; RW,65,France,ESTAC Troyes,Ligue 2
C. Jelves,CDM; CB,60,Chile,Audax Italiano,Primera Division
C. Jenkinson,RB,71,England,West Ham United,Premier League
C. Jennings,CAM; CF,61,England,Tranmere Rovers,League Two
C. Jensen,LW; RW; CAM,55,Denmark,Brentford,Championship
C. Jerome,ST,72,England,Norwich City,Championship
C. Jidayi,RB,62,Italy,Novara Calcio,Serie B
C. Jimémez,RM,61,Peru,Sport Huancayo,Primera Division
C. Jiménez,CB,51,Chile,Unión Española,Primera Division
C. Johansson,CB,59,Sweden,Helsingborgs IF,Allsvenskan
C. John,CB; LWB,54,England,Wolverhampton Wanderers,Premier League
C. Johns,GK,53,Northern Ireland,Southampton,Premier League
C. Johnsgård,ST,54,Norway,Tromsø IL,Eliteserien
C. Johnson,CM,51,England,Accrington Stanley,League Two
C. Johnston,LM; RM,64,Scotland,Kilmarnock,Premiership
C. Jolley,ST; LW; RW,60,England,Newport County,League Two
C. Jones,RWB; RM; RB,55,Wales,Bury,League Two
C. Jong-A-Pin,CB; LB,64,Netherlands,Yokohama,J-League
C. Jopia,LB; LM,60,Chile,Deportivo San Marcos de Arica,Primera Division
C. Jordan,CB,56,England,AFC Bournemouth,Premier League
C. Jorquera,CAM,72,Chile,Parma,Serie A
C. Jullien,CB,65,France,Sport-Club Freiburg,Bundesliga
C. Kabasele,CB,67,Belgium,KRC Genk,Jupiler Pro League
C. Kablan,LB,54,Switzerland,FC Thun,Super League
C. Kaboré,CDM,75,Burkina Faso,Kuban Krasnodar,Premier League
C. Kabuye,ST,56,Sweden,AIK,Allsvenskan
C. Kader,ST; LW,52,Germany,VfL Bochum 1848,2. Bundesliga
C. Kahraman,CM,51,Germany,1. FC Union Berlin,2. Bundesliga
C. Kameni,GK,73,Cameroon,Málaga CF,La Liga
C. Kameraj,RWB,56,Switzerland,FC Lugano,Super League
C. Kammerknecht,CB; RB,61,Germany,Freiburg II,3. Liga
C. Kammlott,ST; LW,65,Germany,FC Rot-Weiß Erfurt,3. Liga
C. Kane,ST,59,Scotland,St. Johnstone FC,Premiership
C. Kanté,CB,70,Mali,AC Ajaccio,Ligue 2
C. Karatas,RW; ST; LW,52,Turkey,FC Bayern München II,3. Liga
C. Karataş,RW; ST; LW,52,Turkey,Bayern München II,3. Liga
C. Karayel,RB,63,Turkey,Ankaragücü,Super Lig
C. Kato,CAM; CF,56,Japan,Vegalta Sendai,J-League
C. Kavanagh,CAM,50,Republic of Ireland,Shamrock Rovers,Premier Division
C. Kaymaz,CM; CAM,56,Germany,Bayreuth,3. Liga
C. Kazim-Richards,ST; RW,71,Turkey,Feyenoord,Eredivisie
C. Keane,LB; LM,53,Republic of Ireland,Notts County,League One
C. Kearns,GK,56,Republic of Ireland,UCD AFC,Premier Division
C. Keeley,CB,55,Republic of Ireland,Drogheda United,Premier Division
C. Keita,LB; LM,49,Mali,Virtus Entella Chiavari,Serie B
C. Keles,LM; RM,61,Austria,Austria Wien,Bundesliga
C. Keleş,LM; RM,63,Austria,Austria Wien,Bundesliga
C. Kelleher,GK,58,Republic of Ireland,Liverpool,Premier League
C. Keller,CM,64,Denmark,Randers FC,Superliga
C. Kelly,CM,47,Republic of Ireland,Derry City,Premier Division
C. Kelman,ST,52,United States,Southend United,League One
C. Kendall,ST,52,England,Lincoln City,League One
C. Kenna,CB,59,Republic of Ireland,Shamrock Rovers,Premier Division
C. Kennedy,LB,58,England,AFC Wimbledon,League Two
C. Kenny,CM; CDM,53,Republic of Ireland,Wexford Youths,Premier Division
C. Kerbrat,CB,75,France,En Avant de Guingamp,Ligue 1
C. Kerr,RB; RWB,52,Scotland,Dundee FC,Premiership
C. Keserü,ST; CF,71,Romania,,
C. Kettings,GK,60,Scotland,Crystal Palace,Premier League
C. Keşerü,ST; CF,71,Romania,,
C. Keșerü,ST,73,Romania,,
C. Kiernan,ST,51,Republic of Ireland,Bohemian FC,Premier Division
C. Kilduff,ST,58,Republic of Ireland,Shamrock Rovers,Premier Division
C. King,CAM; LM,52,Scotland,Norwich City,Championship
C. King-Harmes,RM; CM,51,England,Bolton Wanderers,League One
C. Kinkela,RW; RM; CAM; ST,66,Congo DR,Paris FC,Ligue 2
C. Kinsombi,LM; RM,61,Germany,KFC Uerdingen 05,3. Liga
C. Kipré,CB,52,France,Leicester City,Premier League
C. Kirby,CM,52,England,Sheffield Wednesday,Championship
C. Kirk,RM; LM,48,England,Crewe Alexandra,League One
C. Kirkland,GK,72,England,Sheffield Wednesday,Championship
C. Kitscha,GK,48,England,Cheltenham Town,League Two
C. Klarer,CB,61,Austria,Southampton,Premier League
C. Klaus,GK,60,Germany,SV Darmstadt 98,2. Bundesliga
C. Kleiven,CM; LM,58,Norway,Odds BK,Eliteserien
C. Klem,LB,64,Austria,SK Sturm Graz,Bundesliga
C. Klute,LB; RB,65,United States,Colorado Rapids,Major League Soccer
C. Knasmüllner,CAM; CM; LM,62,Austria,FC Flyeralarm Admira,Bundesliga
C. Knett,GK,66,Austria,FC Wacker Innsbruck,Bundesliga
C. Kobald,CB,62,Austria,Karlsruher SC,3. Liga
C. Kobleder,CB,57,Austria,RZ Pellets Wolfsberger AC,Bundesliga
C. Koca,CDM,54,Turkey,Fenerbahçe,Super Lig
C. Kocur,CM,49,Belgium,Royal Excel Mouscron,Jupiler Pro League
C. Konan,ST,63,Italy,Panathinaikos FC,Rest of World
C. Konopka,GK,58,United States,Toronto FC,Major League Soccer
C. Korb,RB; LB,59,United States,D.C. United,Major League Soccer
C. Kouakou,ST,57,Sweden,IF Brommapojkarna,Allsvenskan
C. Kouame Koffi,CDM; CB,66,Côte d'Ivoire,,
C. Kouamé,ST,56,Côte d'Ivoire,Cittadella,Serie B
C. Kouamé Koffi,CDM; CB,72,Côte d'Ivoire,,
C. Kouan,CM,60,Côte d'Ivoire,Perugia,Serie B
C. Kouan Oulai,CM,68,Côte d'Ivoire,Perugia,Serie B
C. Kouan Oulaï,CM; CAM,67,Côte d'Ivoire,Perugia,Serie B
C. Kountouriotis,RW; RM,60,Greece,Panathinaikos FC,Super League
C. Kourfalidis,CM,62,Greece,Cagliari,Serie A
C. Kouyaté,CDM; CB,71,Senegal,West Ham United,Premier League
C. Kozoronis,CDM; CM,56,Greece,Hamilton Academical,Premiership
C. Koçur,CM,49,Belgium,Royal Excel Mouscron,Jupiler Pro League
C. Kpekawa,CB,56,England,Colchester United,League One
C. Kramer,CDM; CM,77,Germany,Borussia Mönchengladbach,Bundesliga
C. Krempicki,CM; CAM,61,Germany,KFC Uerdingen 05,3. Liga
C. Kronberg,RB; RM; CM; CAM,55,Denmark,Sarpsborg 08 FF,Eliteserien
C. Kröpfl,LM; RM,62,Austria,TSV Egger Glas Hartberg,Bundesliga
C. Kum,LB; CB; RB,66,Germany,FC Utrecht,Eredivisie
C. Kurukalip,LB,55,Turkey,Kasımpaşa,Super Lig
C. Kwon,RM; CM; RW,71,Korea Republic,Dijon,Ligue 1
C. Kyriakou,CDM,67,Cyprus,Estoril Praia,Liga Portugal
C. Källqvist,GK,66,Sweden,BK Häcken,Allsvenskan
C. Köppel,LB; LM,60,Germany,TSV 1860 München,3. Liga
C. Köz,RB; CB; CDM,64,Germany,Yukatel Kayserispor,Super Lig
C. Køhler,CM,51,Denmark,FC Nordsjælland,Superliga
C. Kühlwetter,ST; CAM,59,Germany,1. FC Kaiserslautern,3. Liga
C. La Gorga,GK,51,Italy,Varese,Serie B
C. Labrín,CB,65,Chile,Deportivo San Marcos de Arica,Primera Division
