name,positions,rating,club,league,nationality
Maxence Lacroix,CB,79,Crystal Palace,Premier League,France
Catena,CB,79,CA Osasuna,La Liga,Spain
Lee Kang In,CAM,79,Paris Saint-Germain,Ligue 1,Korea Republic
Rayan Ait-Nouri,LB,79,Wolverhampton Wanderers,Premier League,Algeria
Lewis Ferguson,CM,79,Bologna,Serie A,Scotland
Luis Milla,CM,79,Getafe CF,La Liga,Spain
Mehdi Taremi,ST,79,Inter,Serie A,Iran
Mikkel Damsgaard,CM,79,Brentford,Premier League,Denmark
Antoine Semenyo,RM,79,AFC Bournemouth,Premier League,Ghana
Lutsharel Geertruida,CB,79,RB Leipzig,Bundesliga,Netherlands
Nikola Vlasic,CAM,79,Torino,Serie A,Croatia
Caoimhin Kelleher,GK,79,Liverpool,Premier League,Republic of Ireland
Matt O'Riley,CM,79,Brighton & Hove Albion,Premier League,Denmark
Noa Lang,LW,79,PSV,Eredivisie,Netherlands
Ermedin Demirovic,ST,79,VfB Stuttgart,Bundesliga,Bosnia and Herzegovina
Pedro Neto,RW,79,Chelsea,Premier League,Portugal
Marcin Bułka,GK,79,OGC Nice,Ligue 1,Poland
Pervis Estupinan,LB,79,Brighton & Hove Albion,Premier League,Ecuador
Justin Kluivert,CAM,79,AFC Bournemouth,Premier League,Netherlands
Facundo Medina,CB,79,RC Lens,Ligue 1,Argentina
Tomas Soucek,CDM,79,West Ham United,Premier League,Czechia
Martin Terrier,ST,79,Bayer 04 Leverkusen,Bundesliga,France
Yves Bissouma,CDM,79,Tottenham Hotspur,Premier League,Mali
Manuel Lazzari,RB,79,Lazio,Serie A,Italy
Joakim Mæhle,RB,79,VfL Wolfsburg,Bundesliga,Denmark
Lucas Paqueta,LM,79,West Ham United,Premier League,Brazil
Zubeldia,CB,79,Real Sociedad,La Liga,Spain
Wataru Endo,CDM,79,Liverpool,Premier League,Japan
Richarlison,ST,79,Tottenham Hotspur,Premier League,Brazil
Philipp Lienhart,CB,79,SC Freiburg,Bundesliga,Austria
Guruzeta,ST,79,Athletic Club,La Liga,Spain
Pepelu,CM,79,Valencia CF,La Liga,Spain
Pierre Lees-Melou,CDM,79,Stade Brestois 29,Ligue 1,France
Julian Ryerson,RB,79,Borussia Dortmund,Bundesliga,Norway
Davide Calabria,RB,79,Bologna,Serie A,Italy
Raillo,CB,79,RCD Mallorca,La Liga,Spain
Kamil Grabara,GK,79,VfL Wolfsburg,Bundesliga,Poland
Sander Berge,CM,79,Fulham FC,Premier League,Norway
Matty Cash,RB,79,Aston Villa,Premier League,Poland
Thilo Kehrer,CB,79,AS Monaco,Ligue 1,Germany
Nordi Mukiele,RB,79,Bayer 04 Leverkusen,Bundesliga,France
Nicolas Pepe,RM,79,Villarreal CF,La Liga,Côte d'Ivoire
Denis Bouanga,LW,79,Los Angeles FC,Major League Soccer,Gabon
Olivier Boscagli,CB,79,PSV,Eredivisie,France
Nadiem Amiri,CM,79,1. FSV Mainz 05,Bundesliga,Germany
Lewis Cook,CDM,79,AFC Bournemouth,Premier League,England
Joachim Andersen,CB,79,Fulham FC,Premier League,Denmark
Ramy Bensebaini,LB,79,Borussia Dortmund,Bundesliga,Algeria
Adam Marusic,LB,79,Lazio,Serie A,Montenegro
Sergio Herrera,GK,79,CA Osasuna,La Liga,Spain
Valentin Rongier,CDM,79,Olympique de Marseille,Ligue 1,France
Vedat Muriqi,ST,79,RCD Mallorca,La Liga,Kosovo
Robin Gosens,LB,79,Fiorentina,Serie A,Germany
Stefan Posch,RB,79,Atalanta,Serie A,Austria
Lukas Klostermann,CB,79,RB Leipzig,Bundesliga,Germany
Pablo Maffeo,RB,79,RCD Mallorca,La Liga,Argentina
Franck Honorat,RM,79,Borussia Mönchengladbach,Bundesliga,France
Walter Benitez,GK,79,PSV,Eredivisie,Argentina
Juan Musso,GK,79,Atlético Madrid,La Liga,Argentina
Diego Llorente,CB,79,Real Betis Balompié,La Liga,Spain
Stole Dimitrievski,GK,79,Valencia CF,La Liga,North Macedonia
Carles Gil,CAM,79,New England Revolution,Major League Soccer,Spain
Jonas Hofmann,CAM,79,Bayer 04 Leverkusen,Bundesliga,Germany
Jonas Hofmann,CM,79,Bayer 04 Leverkusen,Bundesliga,Germany
Hany Mukhtar,CAM,79,Nashville SC,Major League Soccer,Germany
Lucas Vazquez,RB,79,Real Madrid,La Liga,Spain
Emil Forsberg,CAM,79,New York Red Bulls,Major League Soccer,Sweden
Berat Djimsiti,CB,79,Atalanta,Serie A,Albania
Jacob Murphy,RW,79,Newcastle United,Premier League,England
Pietro Terracciano,GK,79,Fiorentina,Serie A,Italy
Niclas Fullkrug,ST,79,West Ham United,Premier League,Germany
Suso,RM,79,Sevilla FC,La Liga,Spain
Eric Dier,CB,79,FC Bayern München,Bundesliga,England
David Lopez,CB,79,Girona FC,La Liga,Spain
David Lopez,CB,79,Girona FC,La Liga,Spain
Geoffrey Kondogbia,CM,79,Olympique de Marseille,Ligue 1,Central African Republic
Marco Bizot,GK,79,Stade Brestois 29,Ligue 1,Holland
Jasper Cillessen,GK,79,UD Las Palmas,La Liga,Holland
Lars Unnerstall,GK,79,FC Twente,Eredivisie,Germany
Jordy Clasie,CDM,79,AZ Alkmaar,Eredivisie,Holland
Dan Burn,CB,79,Newcastle United,Premier League,England
Mattia Perin,GK,79,Juventus,Serie A,Italy
Callum Wilson,ST,79,Newcastle United,Premier League,England
Nemanja Matic,CDM,79,Olympique Lyonnais,Ligue 1,Serbia
Daley Blind,CB,79,Girona FC,La Liga,Holland
Stephan El Shaarawy,LM,79,Roma,Serie A,Italy
Pascal Groß,CDM,79,Borussia Dortmund,Bundesliga,Germany
Łukasz Skorupski,GK,79,Bologna,Serie A,Poland
Azpilicueta,CB,79,Atlético Madrid,La Liga,Spain
Marko Arnautovic,ST,79,Inter,Serie A,Austria
Jordan Henderson,CDM,79,Ajax,Eredivisie,England
Yuri Berchiche,LB,79,Athletic Club,La Liga,Spain
Axel Witsel,CB,79,Atlético Madrid,La Liga,Belgium
Dean Huijsen,CB,78,AFC Bournemouth,Premier League,Spain
Fermin,CM,78,FC Barcelona,La Liga,Spain
Aleksandar Pavlovic,CDM,78,FC Bayern München,Bundesliga,Germany
Joao Gomes,CDM,78,Wolverhampton Wanderers,Premier League,Brazil
Andrey Santos,CM,78,RC Strasbourg Alsace,Ligue 1,Brazil
Rico Lewis,RB,78,Manchester City,Premier League,England
Igor Paixao,LW,78,Feyenoord,Eredivisie,Brazil
Alexsandro,CB,78,Lille OSC,Ligue 1,Brazil
Leny Yoro,CB,78,Manchester United,Premier League,France
Mario Gila,CB,78,Lazio,Serie A,Spain
Guillaume Restes,GK,78,Toulouse FC,Ligue 1,France
Johan Bakayoko,RW,78,PSV,Eredivisie,Belgium
Giorgio Scalvini,CB,78,Atalanta,Serie A,Italy
Maghnes Akliouche,RM,78,AS Monaco,Ligue 1,France
Diego Lopez,LM,78,Valencia CF,La Liga,Spain
Romeo Lavia,CDM,78,Chelsea,Premier League,Belgium
Benat Prados,CM,78,Athletic Club,La Liga,Spain
Sam Beukema,CB,78,Bologna,Serie A,Holland
Tino Livramento,RB,78,Newcastle United,Premier League,England
Isak Hien,CB,78,Atalanta,Serie A,Sweden
Ismael Saibari,CAM,78,PSV,Eredivisie,Morocco
Yan Couto,RM,78,Borussia Dortmund,Bundesliga,Brazil
Flavien-Enzo Boyomo,CB,78,CA Osasuna,La Liga,Cameroon
Jan Paul van Hecke,CB,78,Brighton & Hove Albion,Premier League,Netherlands
Illia Zabarnyi,CB,78,AFC Bournemouth,Premier League,Ukraine
Bart Verbruggen,GK,78,Brighton & Hove Albion,Premier League,Netherlands
Evann Guessand,ST,78,OGC Nice,Ligue 1,Côte d'Ivoire
Riccardo Calafiori,CB,78,Arsenal,Premier League,Italy
Amine Adli,ST,78,Bayer 04 Leverkusen,Bundesliga,Morocco
Loic Bade,CB,78,Sevilla FC,La Liga,France
Kenneth Taylor,CM,78,Ajax,Eredivisie,Netherlands
Melvin Bard,LB,78,OGC Nice,Ligue 1,France
Samuele Ricci,CDM,78,Torino,Serie A,Italy
Giuliano Simeone,ST,78,Atlético Madrid,La Liga,Argentina
Matheus Nunes,CM,78,Manchester City,Premier League,Portugal
Giacomo Raspadori,CAM,78,Napoli,Serie A,Italy
Riquelme,LM,78,Atlético Madrid,La Liga,Spain
Enzo Millot,CAM,78,VfB Stuttgart,Bundesliga,France
Fabio Silva,ST,78,UD Las Palmas,La Liga,Portugal
Brian Brobbey,ST,78,Ajax,Eredivisie,Netherlands
Sergino Dest,LB,78,PSV,Eredivisie,United States
Josip Stanisic,RB,78,FC Bayern München,Bundesliga,Croatia
Kouadio Manu Kone,CM,78,Roma,Serie A,France
Mats Wieffer,CDM,78,Brighton & Hove Albion,Premier League,Holland
Nathan Collins,CB,78,Brentford,Premier League,Republic of Ireland
Sacha Boey,RB,78,FC Bayern München,Bundesliga,France
Thierry Correia,RB,78,Valencia CF,La Liga,Portugal
Moncayola,CM,78,CA Osasuna,La Liga,Spain
Tuta,CB,78,Eintracht Frankfurt,Bundesliga,Brazil
Ivan Martin,CAM,78,Girona FC,La Liga,Spain
Jacob Ramsey,LM,78,Aston Villa,Premier League,England
Bafode Diakite,CB,78,Lille OSC,Ligue 1,France
Harvey Elliott,CAM,78,Liverpool,Premier League,England
Georginio Rutter,CAM,78,Brighton & Hove Albion,Premier League,France
Eric Garcia,CB,78,FC Barcelona,La Liga,Spain
Lovro Majer,CM,78,VfL Wolfsburg,Bundesliga,Croatia
Djed Spence,RB,78,Tottenham Hotspur,Premier League,England
Mahdi Camara,CM,78,Stade Brestois 29,Ligue 1,France
De Frutos,RM,78,Rayo Vallecano,La Liga,Spain
Oscar Valentin,CDM,78,Rayo Vallecano,La Liga,Spain
Dwight McNeil,LM,78,Everton,Premier League,England
Neco Williams,RB,78,Nottingham Forest,Premier League,Wales
Alexis Saelemaekers,LM,78,Roma,Serie A,Belgium
Cheick Doucoure,CDM,78,Crystal Palace,Premier League,Mali
Christoph Baumgartner,CAM,78,RB Leipzig,Bundesliga,Austria
Chris Fuhrich,LM,78,VfB Stuttgart,Bundesliga,Germany
Sergio Gomez,LB,78,Real Sociedad,La Liga,Spain
Jonas Wind,ST,78,VfL Wolfsburg,Bundesliga,Denmark
Calvin Bassey,CB,78,Fulham FC,Premier League,Nigeria
Tyrick Mitchell,LB,78,Crystal Palace,Premier League,England
Amine Gouiri,LM,78,Olympique de Marseille,Ligue 1,Algeria
Callum Hudson-Odoi,LM,78,Nottingham Forest,Premier League,England
Ridle Baku,RB,78,RB Leipzig,Bundesliga,Germany
Omar Alderete,CB,78,Getafe CF,La Liga,Paraguay
Matteo Gabbia,CB,78,AC Milan,Serie A,Italy
Matteo Pessina,CM,78,Monza,Serie A,Italy
Jørgen Strand Larsen,ST,78,Wolverhampton Wanderers,Premier League,Norway
Weston McKennie,CM,78,Juventus,Serie A,United States
Amadou Haidara,CM,78,RB Leipzig,Bundesliga,Mali
Chidera Ejuke,LM,78,Sevilla FC,La Liga,Nigeria
Nicolas Dominguez,CDM,78,Nottingham Forest,Premier League,Argentina
Nathan Tella,RM,78,Bayer 04 Leverkusen,Bundesliga,Nigeria
Juan Foyth,RB,78,Villarreal CF,La Liga,Argentina
Sasa Lukic,CM,78,Fulham FC,Premier League,Serbia
Marcos Senesi,CB,78,AFC Bournemouth,Premier League,Argentina
Arnaut Danjuma,ST,78,Girona FC,La Liga,Holland
Fran Beltran,CDM,78,RC Celta,La Liga,Spain
Marc Roca,CDM,78,Real Betis Balompié,La Liga,Spain
Edson Alvarez,CDM,78,West Ham United,Premier League,Mexico
Yehvann Diouf,GK,78,Stade de Reims,Ligue 1,France
Evander,CAM,78,FC Cincinnati,Major League Soccer,Brazil
Hiroki Ito,CB,78,FC Bayern München,Bundesliga,Japan
Aaron Ramsdale,GK,78,Southampton,Premier League,England
Rasmus Kristensen,RB,78,Eintracht Frankfurt,Bundesliga,Denmark
Tyler Adams,CDM,78,AFC Bournemouth,Premier League,United States
Junya Ito,RM,78,Stade de Reims,Ligue 1,Japan
Mauro Arambarri,CDM,78,Getafe CF,La Liga,Uruguay
Danilho Doekhi,CB,78,1. FC Union Berlin,Bundesliga,Holland
Luka Jovic,ST,78,AC Milan,Serie A,Serbia
Trevoh Chalobah,CB,78,Chelsea,Premier League,England
Ben Chilwell,LB,78,Crystal Palace,Premier League,England
Mattias Svanberg,CM,78,VfL Wolfsburg,Bundesliga,Sweden
Robert Sanchez,GK,78,Chelsea,Premier League,Spain
Borja Mayoral,ST,78,Getafe CF,La Liga,Spain
Oleksandr Zinchenko,LB,78,Arsenal,Premier League,Ukraine
Marko Dmitrovic,GK,78,CD Leganés,La Liga,Serbia
Takumi Minamino,CAM,78,AS Monaco,Ligue 1,Japan
Kieran Tierney,LB,78,Arsenal,Premier League,Scotland
Aritz Elustondo,RB,78,Real Sociedad,La Liga,Spain
Guido Rodriguez,CDM,78,West Ham United,Premier League,Argentina
Vanja Milinkovic-Savic,GK,78,Torino,Serie A,Serbia
Robin Zentner,GK,78,1. FSV Mainz 05,Bundesliga,Germany
Wout Weghorst,ST,78,Ajax,Eredivisie,Holland
Tosin Adarabioyo,CB,78,Chelsea,Premier League,England
Julian Weigl,CDM,78,Borussia Mönchengladbach,Bundesliga,Germany
Angelino,LB,78,Roma,Serie A,Spain
Clement Lenglet,CB,78,Atlético Madrid,La Liga,France
Diego Rico,LB,78,Getafe CF,La Liga,Spain
Matias Vecino,CM,78,Lazio,Serie A,Uruguay
Cristian Arango,ST,78,San Jose Earthquakes,Major League Soccer,Colombia
Seko Fofana,CM,78,Stade Rennais FC,Ligue 1,Côte d'Ivoire
Kenny Tete,RB,78,Fulham FC,Premier League,Holland
Brendan Chardonnet,CB,78,Stade Brestois 29,Ligue 1,France
Ryan Christie,CM,78,AFC Bournemouth,Premier League,Scotland
Tyrone Mings,CB,78,Aston Villa,Premier League,England
Mark Flekken,GK,78,Brentford,Premier League,Netherlands
Nicolas Tagliafico,LB,78,Olympique Lyonnais,Ligue 1,Argentina
Ruben Garcia,RM,78,CA Osasuna,La Liga,Spain
Emerson,LB,78,West Ham United,Premier League,Italy
Christian Nørgaard,CDM,78,Brentford,Premier League,Denmark
Christian Gunter,LB,78,SC Freiburg,Bundesliga,Germany
Gaetan Laborde,RW,78,OGC Nice,Ligue 1,France
Ryan Gauld,LW,78,Vancouver Whitecaps FC,Major League Soccer,Scotland
Matheus,GK,78,Ajax,Eredivisie,Brazil
Joel Veltman,RB,78,Brighton & Hove Albion,Premier League,Holland
Leandro Paredes,CM,78,Roma,Serie A,Argentina
Moi Gomez,CM,78,CA Osasuna,La Liga,Spain
Kepa,GK,78,AFC Bournemouth,Premier League,Spain
Alassane Plea,ST,78,Borussia Mönchengladbach,Bundesliga,France
Sebastien Haller,ST,78,FC Utrecht,Eredivisie,Côte d'Ivoire
James Ward-Prowse,CM,78,West Ham United,Premier League,England
Leonardo Spinazzola,LM,78,Napoli,Serie A,Italy
Raheem Sterling,LM,78,Arsenal,Premier League,England
Jordan Veretout,CM,78,Olympique Lyonnais,Ligue 1,France
Cristiano Biraghi,LB,78,Torino,Serie A,Italy
Steven Berghuis,RW,78,Ajax,Eredivisie,Holland
Mathew Ryan,GK,78,RC Lens,Ligue 1,Australia
Marc Bartra,CB,78,Real Betis Balompié,La Liga,Spain
Florian Lejeune,CB,78,Rayo Vallecano,La Liga,France
Kevin Kampl,CM,78,RB Leipzig,Bundesliga,Slovenia
Nemanja Gudelj,CB,78,Sevilla FC,La Liga,Serbia
Alphonse Areola,GK,78,West Ham United,Premier League,France
Rafael Toloi,CB,78,Atalanta,Serie A,Italy
Lucas Beraldo,CB,77,Paris Saint-Germain,Ligue 1,Brazil
Abdukodir Khusanov,CB,77,Manchester City,Premier League,Uzbekistan
Lamine Camara,CM,77,AS Monaco,Ligue 1,Senegal
Jorrel Hato,CB,77,Ajax,Eredivisie,Holland
Endrick,ST,77,Real Madrid,La Liga,Brazil
Yankuba Minteh,RM,77,Brighton & Hove Albion,Premier League,Gambia
Yaser Asprilla,RW,77,Girona FC,La Liga,Colombia
Quilindschy Hartman,LM,77,Feyenoord,Eredivisie,Holland
Tiago Santos,RB,77,Lille OSC,Ligue 1,Portugal
Konstantinos Koulierakis,CB,77,VfL Wolfsburg,Bundesliga,Greece
Mika Biereth,ST,77,AS Monaco,Ligue 1,Denmark
Arthur Vermeeren,CDM,77,RB Leipzig,Bundesliga,Belgium
Jota Silva,RM,77,Nottingham Forest,Premier League,Portugal
Kobbie Mainoo,CDM,77,Manchester United,Premier League,England
Hugo Larsson,CM,77,Eintracht Frankfurt,Bundesliga,Sweden
Alejandro Garnacho,LM,77,Manchester United,Premier League,Argentina
Mathys Tel,ST,77,Tottenham Hotspur,Premier League,France
Mosquera,CB,77,Valencia CF,La Liga,Spain
Abdessamad Ezzalzouli,LM,77,Real Betis Balompié,La Liga,Morocco
Conor Bradley,RB,77,Liverpool,Premier League,Northern Ireland
Vanderson,RB,77,AS Monaco,Ligue 1,Brazil
Dominik Greif,GK,77,RCD Mallorca,La Liga,Slovakia
Hakon Arnar Haraldsson,LM,77,Lille OSC,Ligue 1,Iceland
Aitor Paredes,CB,77,Athletic Club,La Liga,Spain
Rasmus Højlund,ST,77,Manchester United,Premier League,Denmark
Liam Delap,ST,77,Ipswich Town,Premier League,England
Aimar Oroz,CM,77,CA Osasuna,La Liga,Spain
Luiz Junior,GK,77,Villarreal CF,La Liga,Brazil
Ivan Ilic,CM,77,Torino,Serie A,Serbia
Emmanuel Agbadou,CB,77,Wolverhampton Wanderers,Premier League,Côte d'Ivoire
Diego Conde,GK,77,Villarreal CF,La Liga,Spain
Filip Jorgensen,GK,77,Chelsea,Premier League,Denmark
Dan Ndoye,RM,77,Bologna,Serie A,Switzerland
Rocco Reitz,CM,77,Borussia Mönchengladbach,Bundesliga,Germany
Nicolas Seiwald,CDM,77,RB Leipzig,Bundesliga,Austria
Ansgar Knauff,RM,77,Eintracht Frankfurt,Bundesliga,Germany
Adrien Truffert,LB,77,Stade Rennais FC,Ligue 1,France
Samu Costa,CDM,77,RCD Mallorca,La Liga,Portugal
Georges Mikautadze,ST,77,Olympique Lyonnais,Ligue 1,Georgia
Arnaud Kalimuendo,ST,77,Stade Rennais FC,Ligue 1,France
Hicham Boudaoui,CM,77,OGC Nice,Ligue 1,Algeria
Nuno Tavares,LB,77,Lazio,Serie A,Portugal
Joshua Zirkzee,ST,77,Manchester United,Premier League,Holland
Pathe Ciss,CDM,77,Rayo Vallecano,La Liga,Senegal
Dilane Bakwa,RM,77,RC Strasbourg Alsace,Ligue 1,France
Andrei Ratiu,RB,77,Rayo Vallecano,La Liga,Romania
Folarin Balogun,ST,77,AS Monaco,Ligue 1,United States
Raoul Bellanova,RB,77,Atalanta,Serie A,Italy
Alfonso Espino,LB,77,Rayo Vallecano,La Liga,Uruguay
Saud Abdulhamid,RB,77,Roma,Serie A,Saudi Arabia
Barrenetxea,LW,77,Real Sociedad,La Liga,Spain
Mads Hermansen,GK,77,Leicester City,Premier League,Denmark
Maximilian Kilman,CB,77,West Ham United,Premier League,England
Sofiane Diop,LW,77,OGC Nice,Ligue 1,Morocco
Carlos Vicente,RM,77,Deportivo Alavés,La Liga,Spain
Sem Steijn,CAM,77,FC Twente,Eredivisie,Holland
Puado,LM,77,RCD Espanyol,La Liga,Spain
Hugo Magnetti,CDM,77,Stade Brestois 29,Ligue 1,France
Vitaliy Mykolenko,LB,77,Everton,Premier League,Ukraine
Yacine Adli,CDM,77,Fiorentina,Serie A,France
Hugo Duro,ST,77,Valencia CF,La Liga,Spain
Benoit Badiashile,CB,77,Chelsea,Premier League,France
Noah Okafor,ST,77,Napoli,Serie A,Switzerland
Sepp van den Berg,CB,77,Brentford,Premier League,Holland
Oumar Solet,CB,77,Udinese,Serie A,France
Konstantinos Mavropanos,CB,77,West Ham United,Premier League,Greece
Igor,CB,77,Brighton & Hove Albion,Premier League,Brazil
Mauro Junior,LB,77,PSV,Eredivisie,Brazil
Joseph Paintsil,RM,77,LA Galaxy,Major League Soccer,Ghana
Gorosabel,RB,77,Athletic Club,La Liga,Spain
Mathias Olivera,LB,77,Napoli,Serie A,Uruguay
Jan-Niklas Beste,LM,77,SC Freiburg,Bundesliga,Germany
Emile Smith Rowe,LM,77,Fulham FC,Premier League,England
Matvey Safonov,GK,77,Paris Saint-Germain,Ligue 1,Russia
Andreas Skov Olsen,RM,77,VfL Wolfsburg,Bundesliga,Denmark
Romano Schmid,CAM,77,SV Werder Bremen,Bundesliga,Austria
Robin Hack,LM,77,Borussia Mönchengladbach,Bundesliga,Germany
Philipp Kohn,GK,77,AS Monaco,Ligue 1,Switzerland
Julian Chabot,CB,77,VfB Stuttgart,Bundesliga,Germany
Ethan Pinnock,CB,77,Brentford,Premier League,Jamaica
Nicolo Zaniolo,RM,77,Fiorentina,Serie A,Italy
Marcus Tavernier,LM,77,AFC Bournemouth,Premier League,England
Kiernan Dewsbury-Hall,CM,77,Chelsea,Premier League,England
Gabriel Gudmundsson,LB,77,Lille OSC,Ligue 1,Sweden
Anthony Caci,LB,77,1. FSV Mainz 05,Bundesliga,France
Gabriel Strefezza,RW,77,Como,Serie A,Brazil
Santi Comesana,CM,77,Villarreal CF,La Liga,Spain
Ryan Yates,CDM,77,Nottingham Forest,Premier League,England
Radosław Majecki,GK,77,AS Monaco,Ligue 1,Poland
Ismaila Sarr,RW,77,Crystal Palace,Premier League,Senegal
Ibrahim Sangare,CDM,77,Nottingham Forest,Premier League,Côte d'Ivoire
Diogo Leite,CB,77,1. FC Union Berlin,Bundesliga,Portugal
Marcao,CB,77,Sevilla FC,La Liga,Brazil
Carlos Soler,CM,77,West Ham United,Premier League,Spain
Dodo,RB,77,Fiorentina,Serie A,Brazil
Orel Mangala,CM,77,Everton,Premier League,Belgium
Ko Itakura,CB,77,Borussia Mönchengladbach,Bundesliga,Japan
Mason Mount,CM,77,Manchester United,Premier League,England
Daichi Kamada,CAM,77,Crystal Palace,Premier League,Japan
Jens Stage,CM,77,SV Werder Bremen,Bundesliga,Denmark
Caio Henrique,LB,77,AS Monaco,Ligue 1,Brazil
Umar Sadiq,ST,77,Valencia CF,La Liga,Nigeria
Romain Del Castillo,RW,77,Stade Brestois 29,Ligue 1,France
Tammy Abraham,ST,77,AC Milan,Serie A,England
Ludovic Blas,RM,77,Stade Rennais FC,Ligue 1,France
Lukas Nmecha,ST,77,VfL Wolfsburg,Bundesliga,Germany
Axel Disasi,CB,77,Aston Villa,Premier League,France
Mathias Jensen,CM,77,Brentford,Premier League,Denmark
Andre Silva,ST,77,SV Werder Bremen,Bundesliga,Portugal
Ezequiel Avila,ST,77,Real Betis Balompié,La Liga,Argentina
Nelson Semedo,RB,77,Wolverhampton Wanderers,Premier League,Portugal
Augusto Batalla,GK,77,Rayo Vallecano,La Liga,Argentina
Wilfred Ndidi,CDM,77,Leicester City,Premier League,Nigeria
Pablo Fornals,LM,77,Real Betis Balompié,La Liga,Spain
Emiliano Buendia,RM,77,Bayer 04 Leverkusen,Bundesliga,Argentina
Moussa Niakhate,CB,77,Olympique Lyonnais,Ligue 1,Senegal
Ainsley Maitland-Niles,RB,77,Olympique Lyonnais,Ligue 1,England
Rolando Mandragora,CDM,77,Fiorentina,Serie A,Italy
Jonathan Bamba,LM,77,Chicago Fire,Major League Soccer,Côte d'Ivoire
Jeremie Boga,LW,77,OGC Nice,Ligue 1,Côte d'Ivoire
Luis Rioja,LM,77,Valencia CF,La Liga,Spain
Joan Jordan,CM,77,Deportivo Alavés,La Liga,Spain
Borja Iglesias,ST,77,RC Celta,La Liga,Spain
Jonathan Rodriguez,ST,77,Portland Timbers,Major League Soccer,Uruguay
Enes Unal,ST,77,AFC Bournemouth,Premier League,Turkey
Breel Embolo,ST,77,AS Monaco,Ligue 1,Switzerland
Lee Jae Sung,CAM,77,1. FSV Mainz 05,Bundesliga,Korea Republic
Nico Elvedi,CB,77,Borussia Mönchengladbach,Bundesliga,Switzerland
Donny van de Beek,CM,77,Girona FC,La Liga,Holland
Jonathan Gradit,CB,77,RC Lens,Ligue 1,France
Carl Starfelt,CB,77,RC Celta,La Liga,Sweden
Martin Dubravka,GK,77,Newcastle United,Premier League,Slovakia
Antonio Sanabria,ST,77,Torino,Serie A,Paraguay
Ludovic Ajorque,ST,77,Stade Brestois 29,Ligue 1,France
Martin Valjent,CB,77,RCD Mallorca,La Liga,Slovakia
Samuel Gigot,CB,77,Lazio,Serie A,France
Dakonam Djene,CB,77,Getafe CF,La Liga,Togo
Alex Moreno,LB,77,Nottingham Forest,Premier League,Spain
Moses Simon,LM,77,FC Nantes,Ligue 1,Nigeria
Youssouf Sabaly,RB,77,Real Betis Balompié,La Liga,Senegal
Johan Mojica,LB,77,RCD Mallorca,La Liga,Colombia
Jefferson Lerma,CDM,77,Crystal Palace,Premier League,Colombia
Nabil Bentaleb,CDM,77,Lille OSC,Ligue 1,Algeria
Jose Sa,GK,77,Wolverhampton Wanderers,Premier League,Portugal
Federico Bernardeschi,RW,77,Toronto FC,Major League Soccer,Italy
Timo Werner,LM,77,Tottenham Hotspur,Premier League,Germany
Danilo Cataldi,CDM,77,Fiorentina,Serie A,Italy
Adrien Thomasson,CAM,77,RC Lens,Ligue 1,France
Andreas Pereira,CAM,77,Fulham FC,Premier League,Brazil
Saul,CM,77,Sevilla FC,La Liga,Spain
Saul,LB,77,Sevilla FC,La Liga,Spain
Clinton Mata,RB,77,Olympique Lyonnais,Ligue 1,Angola
Lucas Torro,CDM,77,CA Osasuna,La Liga,Spain
Mitchell Weiser,RB,77,SV Werder Bremen,Bundesliga,Germany
Raul Jimenez,ST,77,Fulham FC,Premier League,Mexico
Michy Batshuayi,ST,77,Eintracht Frankfurt,Bundesliga,Belgium
Kevin Stoger,CAM,77,Borussia Mönchengladbach,Bundesliga,Austria
Jeffrey Gouweleeuw,CB,77,FC Augsburg,Bundesliga,Holland
Ismaily,LB,77,Lille OSC,Ligue 1,Brazil
Lewis Dunk,CB,77,Brighton & Hove Albion,Premier League,England
Oriol Romeu,CDM,77,Girona FC,La Liga,Spain
Anthony Lopes,GK,77,FC Nantes,Ligue 1,Portugal
Michael Gregoritsch,ST,77,SC Freiburg,Bundesliga,Austria
Ross Barkley,CM,77,Aston Villa,Premier League,England
Marvin Ducksch,ST,77,SV Werder Bremen,Bundesliga,Germany
Neto,GK,77,Arsenal,Premier League,Brazil
Idrissa Gueye,CDM,77,Everton,Premier League,Senegal
Michail Antonio,ST,77,West Ham United,Premier League,Jamaica
Christian Eriksen,CM,77,Manchester United,Premier League,Denmark
Guaita,GK,77,RC Celta,La Liga,Spain
Roman Burki,GK,77,St. Louis CITY SC,Major League Soccer,Switzerland
Danny Welbeck,ST,77,Brighton & Hove Albion,Premier League,England
Oscar Trejo,CAM,77,Rayo Vallecano,La Liga,Argentina
Hugo Lloris,GK,77,Los Angeles FC,Major League Soccer,France
Łukasz Fabianski,GK,77,West Ham United,Premier League,Poland
Raul Albiol,CB,77,Villarreal CF,La Liga,Spain
Kaishu Sano,CM,77,1. FSV Mainz 05,Bundesliga,Japan
Gabriel Pec,RW,77,LA Galaxy,Major League Soccer,Brazil
Kenan Yıldız,LW,76,Juventus,Serie A,Turkey
Nico Paz,CAM,76,Como,Serie A,Argentina
Natan,CB,76,Real Betis Balompié,La Liga,Brazil
Altimira,CM,76,Real Betis Balompié,La Liga,Spain
Altimira,RB,76,Real Betis Balompié,La Liga,Spain
Lucas Bergvall,CM,76,Tottenham Hotspur,Premier League,Sweden
Eliesse Ben Seghir,CAM,76,AS Monaco,Ligue 1,Morocco
Bryan Zaragoza,RM,76,CA Osasuna,La Liga,Spain
