name,positions,rating,club,league,nationality
Mascarenhas,ST;RM;LM,69,R. Oviedo,LALIGA HYPERMOTION,Portugal
Alessandro Gabrielloni,ST,69,Como,Serie A Enilive,Italy
Ruben Gabrielsen,CB,69,Lillestrøm SK,Eliteserien,Norway
Antonio Galeano,RW;LW;CM;RM,69,Nacional,Libertadores,Paraguay
Sam Gallagher,ST;RM,69,Stoke City,EFL Championship,England
Lucas Galvão,CB;LB,69,FK Austria Wien,Ö. Bundesliga,Brazil
Silvère Ganvoula,ST,69,BSC Young Boys,CSSL,Congo
Gao Zhunyi,LB;CB;RB,69,Shandong Taishan,CSL,China PR
Diego García,LM;LW;CAM,69,Liverpool,Libertadores,Uruguay
Saúl,LB,69,R. Racing Club,LALIGA HYPERMOTION,Spain
Víctor García,RM;RB;RW,69,CD Eldense,LALIGA HYPERMOTION,Spain
Andrés García,RM;RB;RW,69,Levante UD,LALIGA HYPERMOTION,Spain
Taylor Gardner-Hickman,CM;CDM;RB,69,Birmingham City,EFL League One,England
Stefan Gartenmann,CB,69,Ferencvárosi TC,Magyar Liga,Denmark
Pedro Amaral,LB,69,Estoril Praia,Liga Portugal,Portugal
Jules Gaudin,LB,69,Paris FC,Ligue 2 BKT,France
Linus Gechter,CB,69,Hertha BSC,Bundesliga 2,Germany
Joe Gelhardt,CAM;ST,69,Leeds United,EFL Championship,England
Marius Gersbeck,GK,69,Hertha BSC,Bundesliga 2,Germany
Paolo Ghiglione,RB;RM,69,Salernitana,Serie BKT,Italy
Daniele Ghilardi,CB,69,Hellas Verona,Serie A Enilive,Italy
Ali Gholizadeh,RM;CAM;RW,69,Lech Poznań,PKO BP Ekstraklasa,Iran
Ben Gibson,CB,69,Stoke City,EFL Championship,England
Lewis Gibson,CB,69,Plymouth Argyle,EFL Championship,England
Óscar Gil,RB;LB,69,OH Leuven,1A Pro League,Spain
Milton Giménez,ST,69,Boca Juniors,Sudamericana,Argentina
Álvaro Giménez,ST,69,Racing de Ferrol,LALIGA HYPERMOTION,Spain
Simone Giordano,LB;LM,69,Sampdoria,Serie BKT,Italy
Justen Glad,CB,69,Real Salt Lake,MLS,United States
Silas Gnaka,CDM;CB,69,1. FC Magdeburg,Bundesliga 2,Côte d'Ivoire
Giorgi Gocholeishvili,RB;RM,69,F.C. København,3F Superliga,Georgia
Bruno Godeau,CB,69,STVV,1A Pro League,Belgium
Mika Godts,LW;RW;LM,69,Ajax,Eredivisie,Belgium
Wouter Goes,CB,69,AZ,Eredivisie,Holland
Jakob Golz,GK,69,Rot-Weiss Essen,3. Liga,Germany
Iván Gómez,CM;CDM,69,Platense,Primera División,Argentina
Dani Gómez,ST,69,Valencia CF,LALIGA EA SPORTS,Spain
Alfred Gomis,GK,69,Palermo,Serie BKT,Senegal
Franco González,CAM,69,Yverdon Sport FC,CSSL,Uruguay
Gastón González,LW;LM,69,Nacional,Libertadores,Argentina
Rubén Alves,CB,69,CD Tenerife,LALIGA HYPERMOTION,Spain
Rober,RM;CAM;RW,69,N.E.C. Nijmegen,Eredivisie,Spain
Peter,RM;LM;RW,69,Getafe CF,LALIGA EA SPORTS,Dominican Republic
Fabio González,CDM;CM,69,UD Las Palmas,LALIGA EA SPORTS,Spain
Sergio González,CDM;CB;CM,69,CD Tenerife,LALIGA HYPERMOTION,Spain
Lynden Gooch,RB;LB,69,Stoke City,EFL Championship,United States
Kenzo Goudmijn,CM;CAM;CDM,69,Derby County,EFL Championship,Holland
Constantin Grameni,CM,69,Farul Constanța,SUPERLIGA,Romania
Samuel Grandsir,LM;LW,69,Havre AC,Ligue 1 McDonald's,France
Sam Greenwood,LM;CAM;LW,69,Preston,EFL Championship,England
Mathias Greve,CM,69,Randers FC,3F Superliga,Denmark
Lukas Grgić,CDM;CM,69,SK Rapid,Ö. Bundesliga,Austria
Lennart Grill,GK,69,Braunschweig,Bundesliga 2,Germany
Fausto Grillo,CB,69,U. Católica,Sudamericana,Argentina
Adriano Grimaldi,ST,69,SC Paderborn 07,Bundesliga 2,Germany
Marc Gual,ST;LW,69,Legia Warszawa,PKO BP Ekstraklasa,Spain
Gabriel Gudiño,RM;LM;RB;RW,69,Sarmiento,Primera División,Argentina
Parfait Guiagon,RM;RW;LM,69,Sp. Charleroi,1A Pro League,Côte d'Ivoire
Patrik Gunnarsson,GK,69,KV Kortrijk,1A Pro League,Iceland
Régis Gurtner,GK,69,Amiens SC,Ligue 2 BKT,France
Gwon Wan Gyu,CB,69,FC Seoul,K League 1,Korea Republic
Jan Gyamerah,RB;LB,69,Kaiserslautern,Bundesliga 2,Germany
Giovanni Haag,CDM;CM;CB,69,Düsseldorf,Bundesliga 2,France
Nicolas Haas,CM,69,Empoli,Serie A Enilive,Switzerland
Florent Hadergjonaj,RB,69,Alanyaspor,Trendyol Süper Lig,Kosovo
Warner Hahn,GK,69,Hammarby IF,Allsvenskan,Suriname
Ben Hamer,GK,69,Sheffield Wed,EFL Championship,England
Justin Hammel,GK,69,GC Zürich,CSSL,Switzerland
André Hansen,GK,69,Odds BK,Eliteserien,Norway
Doğucan Haspolat,CDM;CM,69,KVC Westerlo,1A Pro League,Turkey
Niklas Hauptmann,CM,69,Dynamo Dresden,3. Liga,Germany
Milan Havel,LB;RB,69,Viktoria Plzeň,Česká Liga,Czech Republic
Matt Hedges,CB,69,Austin FC,MLS,United States
Jürgen Heil,RB;CDM;CM,69,TSV Hartberg,Ö. Bundesliga,Austria
Jonathan Herrera,ST;LW,69,Dep. Riestra,Primera División,Argentina
Alfonso Herrero,GK,69,Málaga CF,LALIGA HYPERMOTION,Spain
Herzog,CB,69,UD Las Palmas,LALIGA EA SPORTS,Spain
Eirik Hestad,RM;CAM;RW,69,Molde FK,Eliteserien,Norway
Robin Heußer,CM;CDM,69,Karlsruher SC,Bundesliga 2,Germany
James Hill,CB;RB,69,AFC Bournemouth,Premier League,England
Jack Hinshelwood,CDM;RB,69,Brighton,Premier League,England
Václav Hladký,GK,69,Burnley,EFL Championship,Czech Republic
Bongokuhle Hlongwane,RM;LM;RW,69,Minnesota United,MLS,South Africa
Kristian Hlynsson,CAM;CM;RW,69,Ajax,Eredivisie,Iceland
Daniel Høegh,CB,69,Randers FC,3F Superliga,Denmark
Marcel Hoffmeier,CB;LM,69,SC Paderborn 07,Bundesliga 2,Germany
Gerrit Holtmann,LM;LW;RM,69,VfL Bochum 1848,Bundesliga,Philippines
Majid Hosseini,CB,69,Kayserispor,Trendyol Süper Lig,Iran
Dino Hotić,CAM;RM;LM,69,Lech Poznań,PKO BP Ekstraklasa,Bosnia and Herzegovina
Andréas Hountondji,ST,69,Burnley,EFL Championship,Benin
Johan Hove,CM;CAM,69,FC Groningen,Eredivisie,Norway
Arbër Hoxha,LW;ST;LM,69,Dinamo Zagreb,Liga Hrvatska,Albania
Ajdin Hrustić,CM;CDM;RM,69,Salernitana,Serie BKT,Australia
Niklas Hult,LB,69,IF Elfsborg,Allsvenskan,Sweden
Jannik Huth,GK,69,SC Freiburg,Bundesliga,Germany
Hwang Seok Ho,CB,69,Ulsan Hyundai,K League 1,Korea Republic
Hwang Jae Won,CB;RB;CM,69,Daegu FC,K League 1,Korea Republic
Chukwubuikem Ikwuemesi,ST,69,OH Leuven,1A Pro League,Nigeria
Kastriot Imeri,CM;LM;CAM,69,BSC Young Boys,CSSL,Switzerland
Bonke Innocent,CDM;CM,69,FC Lorient,Ligue 2 BKT,Nigeria
Tim Iroegbunam,CDM;CM,69,Everton,Premier League,England
Robert Ivanov,CB,69,Braunschweig,Bundesliga 2,Finland
Emmanuel Iyoha,LB;LM;ST,69,Düsseldorf,Bundesliga 2,Germany
Jairo,RW;RM;LW,69,FC Cartagena,LALIGA HYPERMOTION,Spain
Paul Izzo,GK,69,Randers FC,3F Superliga,Australia
Nordin Jackers,GK,69,Club Brugge,1A Pro League,Belgium
Filip Wojciech Jagiełło,CM;CAM,69,Lech Poznań,PKO BP Ekstraklasa,Poland
Ahmed Jahouh,CDM;CM,69,Odisha FC,ISL,Morocco
Frederik Jäkel,CB,69,SV Elversberg,Bundesliga 2,Germany
Saidy Janko,RB,69,BSC Young Boys,CSSL,Gambia
Dominik Janošek,CAM;LM;CM,69,NAC Breda,Eredivisie,Czech Republic
Leonardo Jara,RB,69,Vélez Sarsfield,Primera División,Argentina
Julian Jeanvier,CB,69,Kayserispor,Trendyol Süper Lig,Guinea
Victor Jensen,CAM;CM,69,FC Utrecht,Eredivisie,Denmark
Jeon Min Gwang,CB;RB;LB,69,Pohang Steelers,K League 1,Korea Republic
Jeong Seung Won,CM;RM;RW,69,Suwon FC,K League 1,Korea Republic
Marko Jevtović,CDM;CM,69,Konyaspor,Trendyol Süper Lig,Serbia
Jiang Shenglong,CB;CDM,69,Shanghai Shenhua,CSL,China PR
Stefan Johansen,CM;CDM,69,Sarpsborg 08,Eliteserien,Norway
Matej Jonjić,CB,69,Incheon United,K League 1,Croatia
Kamil Jóźwiak,RM;LM;RW,69,Granada CF,LALIGA HYPERMOTION,Poland
Issa Kallon,RW;LW;LM;RM,69,Nantong Zhiyun FC,CSL,Sierra Leone
Kei Kamara,ST,69,LAFC,MLS,Sierra Leone
Nordine Kandil,LM;LW,69,Strasbourg,Ligue 1 McDonald's,Morocco
Kang Hyeon Mu,GK,69,FC Seoul,K League 1,Korea Republic
Ercan Kara,ST;CAM,69,Samsunspor,Trendyol Süper Lig,Austria
Emir Karić,LB;LM,69,SK Sturm Graz,Ö. Bundesliga,Austria
Eden Karzev,CDM;CM,69,SZ Peng City,CSL,Israel
Nikola Katić,CB,69,FC Zürich,CSSL,Croatia
Panos Katseris,RB;RM,69,FC Lorient,Ligue 2 BKT,Greece
Noah Katterbach,LB,69,Hamburger SV,Bundesliga 2,Germany
Yalçın Kayan,CM;CDM;CAM,69,Göztepe,Trendyol Süper Lig,Turkey
Kévin Keben,CB;RB,69,Watford,EFL Championship,Cameroon
Check Keita,CB,69,Sp. Charleroi,1A Pro League,France
Luca Kerber,CM;CDM,69,Heidenheim,Bundesliga,Germany
Henry Kessler,CB,69,St. Louis CITY SC,MLS,United States
Josh Key,RB,69,Swansea City,EFL Championship,England
Hamidou Keyta,LW;ST;CAM;LM,69,Qarabağ FK,Liga Azerbaijan,France
Kim Jin Hyuk,CB;RB;ST,69,Daegu FC,K League 1,Korea Republic
Kim Young Gwon,CB,69,Ulsan Hyundai,K League 1,Korea Republic
David Kinsombi,CM;CDM;RM,69,SC Paderborn 07,Bundesliga 2,Germany
Sonny Kittel,LW;RW;CM;LM,69,GC Zürich,CSSL,Germany
Ko Jae Hyeon,RW;RM;CM,69,Daegu FC,K League 1,Korea Republic
Bautista Kociubinski,CDM;CM,69,Estudiantes,Libertadores,Argentina
Okan Kocuk,GK,69,Samsunspor,Trendyol Süper Lig,Turkey
Koba Leïn Koindredi,CM;CAM;LM,69,Sporting CP,Liga Portugal,France
Ibrahima Koné,ST,69,Al Okhdood,ROSHN Saudi League,Mali
Peer Koopmeiners,CDM;CM,69,AZ,Eredivisie,Holland
Georgi Kostadinov,CDM;CM,69,APOEL FC,Liga Cyprus,Bulgaria
Dominik Kother,LM;RM;LW,69,Jahn Regensburg,Bundesliga 2,Germany
Efthymios Koulouris,ST,69,Pogoń Szczecin,PKO BP Ekstraklasa,Greece
Julian Krahl,GK,69,Kaiserslautern,Bundesliga 2,Germany
Michiel Kramer,ST,69,RKC Waalwijk,Eredivisie,Holland
Roy Krishna,ST;RW,69,Odisha FC,ISL,Fiji
Nicolas Kristof,GK,69,SV Elversberg,Bundesliga 2,Austria
Anton Krivotsyuk,CB;LB,69,Daejeon,K League 1,Azerbaijan
Sergiy Kryvtsov,CB,69,Inter Miami CF,MLS,Ukraine
Patryk Kun,LM;LW,69,Legia Warszawa,PKO BP Ekstraklasa,Poland
Roman Květ,CM;CDM,69,FCV Dender EH,1A Pro League,Czech Republic
Mathias Kvistgaarden,ST;LW;RW,69,Brøndby IF,3F Superliga,Denmark
Moritz-Broni Kwarteng,RW;CAM;ST;RM,69,VfL Bochum 1848,Bundesliga,Germany
Mathías Laborda,CB;RB,69,Whitecaps FC,MLS,Uruguay
Mayckel Lahdo,RW;RM,69,AZ,Eredivisie,Sweden
Ali Lajami,CB,69,Al Nassr,ROSHN Saudi League,Saudi Arabia
Łukasz Łakomy,CDM;CM,69,BSC Young Boys,CSSL,Poland
Nicolai Larsen,GK,69,Silkeborg IF,3F Superliga,Denmark
Théo Le Bris,LM;LW,69,FC Lorient,Ligue 2 BKT,France
Luke Leahy,LB;CM;CB,69,Wycombe,EFL League One,England
Nicola Leali,GK,69,Genoa,Serie A Enilive,Italy
Quentin Lecoeuche,LB,69,SM Caen,Ligue 2 BKT,France
Lee Sang Heon,ST;LW;LM,69,Gangwon FC,K League 1,Korea Republic
Lee Han Beom,CB,69,FC Midtjylland,3F Superliga,Korea Republic
Lee Myung Joo,CM,69,Incheon United,K League 1,Korea Republic
Nahuel Leiva,LM;LW,69,Śląsk Wrocław,PKO BP Ekstraklasa,Spain
Tim Lemperle,ST,69,1. FC Köln,Bundesliga 2,Germany
José León,CB,69,CD Tenerife,LALIGA HYPERMOTION,Spain
Marc Leonard,CM;CDM;CAM,69,Birmingham City,EFL League One,Scotland
Mehdi Léris,RM;RW,69,Pisa,Serie BKT,Algeria
Léo Leroy,CM;CDM;CAM,69,FC Basel 1893,CSSL,France
Benjamin Leroy,GK,69,FC Lorient,Ligue 2 BKT,France
Karlo Letica,GK,69,Lausanne-Sport,CSSL,Croatia
Tobe Leysen,GK,69,OH Leuven,1A Pro League,Belgium
Luca Lezzerini,GK,69,Brescia,Serie BKT,Italy
Dimitris Limnios,LM;RM;LW,69,Panathinaikos,Hellas Liga,Greece
Gift Links,LB,69,AGF,3F Superliga,South Africa
Krisztián Lisztes,CAM;ST,69,Frankfurt,Bundesliga,Hungary
Liu Dianzuo,GK,69,Wuhan Three Towns,CSL,China PR
Dailon Rocha Livramento,ST;RM,69,Hellas Verona,Serie A Enilive,Cape Verde Islands
Raúl Lizoain,GK,69,Albacete BP,LALIGA HYPERMOTION,Spain
Javi Llabrés,LM;RM;LW,69,RCD Mallorca,LALIGA EA SPORTS,Spain
Luka Lochoshvili,CB,69,Cremonese,Serie BKT,Georgia
Duk,ST;LM;LW,69,Aberdeen,Scottish Prem,Cape Verde Islands
Lluís López,CB,69,Real Zaragoza,LALIGA HYPERMOTION,Spain
Joseph Lopy,CDM;CM,69,Angers SCO,Ligue 1 McDonald's,Senegal
Daniel Lovitz,LB;CB,69,Nashville SC,MLS,United States
Nilson Loyola,LB,69,UCV,Sudamericana,Peru
Felipe Loyola,RB;CM,69,Independiente,Primera División,Chile
Raúl Alberto Lozano,RB,69,Platense,Primera División,Argentina
Ivan Lučić,GK,69,Hajduk Split,Liga Hrvatska,Austria
Oier Luengo,CB;RB,69,R. Oviedo,LALIGA HYPERMOTION,Spain
Gonzalo Luján,CB;RB;RM,69,San Lorenzo,Libertadores,Argentina
Lucas Lund,GK,69,Viborg FF,3F Superliga,Denmark
Francis Mac Allister,CDM;CM,69,Argentinos Jrs.,Sudamericana,Argentina
Shuto Machino,ST,69,Holstein Kiel,Bundesliga,Japan
Alejandro Maciel,CB,69,Banfield,Primera División,Argentina
Louis Mafouta,ST,69,Amiens SC,Ligue 2 BKT,Central African Republic
Tiago Sá,GK,69,SC Braga,Liga Portugal,Portugal
Thorsten Mahrer,CB,69,Austria Klagenfurt,Ö. Bundesliga,Austria
Iago Maidana,CB,69,Henan FC,CSL,Brazil
Žan Majer,CM;CDM,69,Cremonese,Serie BKT,Slovenia
Cebrail Makreckis,RB;CDM,69,Ferencvárosi TC,Magyar Liga,Latvia
Joël Mall,GK,69,Servette FC,CSSL,Cyprus
Kenneth Mamah,RM;ST;RW,69,CD Castellón,LALIGA HYPERMOTION,Nigeria
Daniel Mancilla,LB;LM;CM,69,Nacional Potosí,Sudamericana,Bolivia
Leonardo Mancuso,ST;LW,69,Mantova,Serie BKT,Italy
Cristian Manea,RB;LB,69,FC Rapid 1923,SUPERLIGA,Romania
Thomas Mangani,CM;CDM,69,AC Ajaccio,Ligue 2 BKT,France
Nico Mantl,GK,69,Arouca,Liga Portugal,Germany
Alexis Manyoma,LW;LM,69,Estudiantes,Libertadores,Colombia
Sékou Mara,ST,69,Strasbourg,Ligue 1 McDonald's,France
Vincent Marchetti,CM;CDM,69,Paris FC,Ligue 2 BKT,France
Filip Marchwiński,CAM;ST;RW,69,Lecce,Serie A Enilive,Poland
Sasha Marcich,LB;LM,69,Platense,Primera División,Argentina
Mirko Marić,ST,69,Monza,Serie A Enilive,Croatia
Jaílson,CB;CDM;CM,69,RC Celta,LALIGA EA SPORTS,Brazil
Teto,RM;LM;CM;RW,69,CD Tenerife,LALIGA HYPERMOTION,Spain
Carlos Martín,ST,69,D. Alavés,LALIGA EA SPORTS,Spain
Hugo Martínez,CDM;CM,69,Libertad,Libertadores,Paraguay
Newerton,LW;LM,69,Shakhtar Donetsk,Ukrayina Liha,Brazil
Franco Mastantuono,CAM,69,River Plate,Libertadores,Argentina
Aleš Matějů,CB;RB,69,Spezia,Serie BKT,Czech Republic
Marcus Mathisen,CB,69,1. FC Magdeburg,Bundesliga 2,Denmark
José Matos,LB;LM,69,Cádiz CF,LALIGA HYPERMOTION,Spain
Andreas Maxsø,CB,69,Colorado Rapids,MLS,Denmark
Walter Mazzantti,RM;ST;RW,69,Huracán,Primera División,Argentina
Simone Mazzocchi,ST;CAM;LW,69,Cosenza,Serie BKT,Italy
Sam McCallum,LB,69,Sheffield Utd,EFL Championship,England
Luke McCowan,CM;CAM;LM,69,Celtic,Scottish Prem,Scotland
Kyle McFadzean,CB,69,Blackburn Rovers,EFL Championship,England
Ringo Meerveld,CAM;LM;CM,69,Willem II,Eredivisie,Holland
Yakou Méïté,ST;RM,69,Cardiff City,EFL Championship,Côte d'Ivoire
Hannibal,CM;CAM,69,Burnley,EFL Championship,Tunisia
Houboulang Mendes,RB;CB,69,ESTAC Troyes,Ligue 2 BKT,Guinea-Bissau
Nacho Méndez,CM;CDM,69,R. Sporting,LALIGA HYPERMOTION,Spain
Antoine Mendy,CB;RB,69,OGC Nice,Ligue 1 McDonald's,France
Queensy Menig,LW;LM;RW,69,Sivasspor,Trendyol Süper Lig,Holland
Nicolas Meriano,CB;LB,69,Belgrano,Sudamericana,Argentina
Connor Metcalfe,CM;CDM;RW,69,FC St. Pauli,Bundesliga,Australia
Marco Meyerhöfer,RB;RM;LM,69,Fürth,Bundesliga 2,Germany
Damian Michalski,CB,69,Fürth,Bundesliga 2,Poland
Clément Michelin,RB,69,R. Racing Club,LALIGA HYPERMOTION,France
Antonio Milić,CB,69,Lech Poznań,PKO BP Ekstraklasa,Croatia
Richard Mina,CB,69,LDU Quito,Libertadores,Ecuador
Sota Mino,CDM;CM,69,Sepsi OSK,SUPERLIGA,Japan
Ryan Mmaee,ST,69,Stoke City,EFL Championship,Morocco
Anuar,CM;CAM;LM,69,R. Valladolid CF,LALIGA EA SPORTS,Morocco
Niklas Moisander,CB,69,Malmö FF,Allsvenskan,Finland
Salvatore Molina,RM;CM;LM;RW,69,Südtirol,Serie BKT,Italy
Fernando Monetti,GK,69,Sarmiento,Primera División,Argentina
Steven Moreira,CB;RB,69,Columbus Crew,MLS,Cape Verde Islands
André Moreira,GK,69,Al Raed,ROSHN Saudi League,Portugal
Diego Moreno,CDM;CM;CAM,69,Indep. Medellín,Sudamericana,Colombia
Joaquín Mosqueira,CDM;CM,69,Unión,Primera División,Argentina
Marius Mouandilmadji,ST,69,Samsunspor,Trendyol Süper Lig,Chad
Jackson Muleka,RW;ST;RM,69,Al Kholood,ROSHN Saudi League,Congo DR
Andreas Müller,CDM;CM,69,SV Darmstadt 98,Bundesliga 2,Germany
César Munder,LW;LM,69,Cobresal,Libertadores,Chile
Ezequiel Muñoz,CB,69,Lanús,Sudamericana,Argentina
Louis Munteanu,ST,69,CFR 1907 Cluj,SUPERLIGA,Romania
Radosław Murawski,CDM;CM,69,Lech Poznań,PKO BP Ekstraklasa,Poland
Nam Tae Hee,RM;RW;CM,69,Jeju United,K League 1,Korea Republic
Yehor Nazaryna,CM;CDM,69,Shakhtar Donetsk,Ukrayina Liha,Ukraine
Rassoul Ndiaye,CDM;CM,69,Havre AC,Ligue 1 McDonald's,Senegal
Cher Ndour,CM;CAM,69,Beşiktaş,Trendyol Süper Lig,Italy
Maurice Neubauer,LB;LM,69,SV Elversberg,Bundesliga 2,Germany
Filipe Ferreira,LB;CB,69,Boavista FC,Liga Portugal,Portugal
Jeremy Ngakia,RB,69,Watford,EFL Championship,England
Siyabonga Ngezana,CB;RB,69,FCSB,SUPERLIGA,South Africa
Sivert Heltne Nilsen,CDM;CM,69,Aberdeen,Scottish Prem,Norway
Obed Nkambadio,GK,69,Paris FC,Ligue 2 BKT,France
Noguera,CAM;CM;RW,69,Bengaluru FC,ISL,Spain
Nolaskoain,CDM;CB;CM,69,SD Eibar,LALIGA HYPERMOTION,Spain
Hugo Novoa,RM;RB;RW,69,D. Alavés,LALIGA EA SPORTS,Spain
Bartosz Nowak,CAM,69,GKS Katowice,PKO BP Ekstraklasa,Poland
Max O'Leary,GK,69,Bristol City,EFL Championship,Republic of Ireland
Michael Obafemi,ST,69,Plymouth Argyle,EFL Championship,Republic of Ireland
Adam Obert,CB;LB,69,Cagliari,Serie A Enilive,Slovakia
Agustín Ocampo,LM;ST;RM;LW,69,Platense,Primera División,Uruguay
Hakeem Odoffin,CB;CM,69,Rotherham Utd,EFL League One,England
Raphael Odogwu,ST,69,Südtirol,Serie BKT,Italy
Tim Oermann,CB;RB,69,VfL Bochum 1848,Bundesliga,Germany
Koki Ogawa,ST,69,N.E.C. Nijmegen,Eredivisie,Japan
Oh Hyeon Gyu,ST,69,KRC Genk,1A Pro League,Korea Republic
Agustín Ojeda,RW;LW;RM,69,New York City FC,MLS,Argentina
Dani Ojeda,LM;RM;LW,69,Burgos CF,LALIGA HYPERMOTION,Spain
Jeppe Okkels,LM;RM;LW,69,Preston,EFL Championship,Denmark
Teddy Okou,ST;RM,69,Lausanne-Sport,CSSL,France
Christian Oliva,CDM;CM,69,Nacional,Libertadores,Uruguay
Ricardinho,LM;CAM;LW,69,Santa Clara,Liga Portugal,Portugal
Maximiliano Olivera,LB;CB,69,Peñarol,Libertadores,Uruguay
Jan Olschowsky,GK,69,M'gladbach,Bundesliga,Germany
Thomas Lehne Olsen,ST,69,Lillestrøm SK,Eliteserien,Norway
Kenneth Omeruo,CB,69,Kasımpaşa,Trendyol Süper Lig,Nigeria
Kevin Carlos,ST,69,FC Basel 1893,CSSL,Spain
Ontiveros,LM;RM;ST;LW,69,Cádiz CF,LALIGA HYPERMOTION,Spain
Joel Ordoñez,CB,69,Club Brugge,1A Pro League,Ecuador
Michael Ortega,CAM;CM,69,The Strongest,Libertadores,Colombia
Ulises Ortegoza,CM;CDM;CAM,69,Talleres,Libertadores,Argentina
Juanto Ortuño,ST,69,CD Eldense,LALIGA HYPERMOTION,Spain
Orri Óskarsson,ST,69,Real Sociedad,LALIGA EA SPORTS,Iceland
Abiel Osorio,ST,69,Defensa,Sudamericana,Argentina
Erick Otieno,LB;LM,69,Raków,PKO BP Ekstraklasa,Kenya
Kassoum Ouattara,LB,69,AS Monaco,Ligue 1 McDonald's,France
Assan Ouédraogo,CAM;CM,69,RB Leipzig,Bundesliga,Germany
Godfried Ayesu Owusu Frimpong,LB,69,Moreirense FC,Liga Portugal,Holland
Rome-Jayden Owusu-Oduro,GK,69,AZ,Eredivisie,Holland
Marlon Pack,CDM;CM,69,Portsmouth,EFL Championship,England
Daniele Padelli,GK,69,Udinese,Serie A Enilive,Italy
Simone Pafundi,CAM;CM,69,Lausanne-Sport,CSSL,Italy
Paik Sung Dong,LM;LW,69,Pohang Steelers,K League 1,Korea Republic
Guillermo Paiva,ST,69,Colo-Colo,Libertadores,Paraguay
Matías Palacios,CAM;CM;CDM,69,Al Ain FC,United Emirates League,Argentina
Erik Palmer-Brown,CB,69,Panathinaikos,Hellas Liga,United States
Jonathan Panzo,CB,69,Rio Ave FC,Liga Portugal,England
Cristhian Paredes,CDM;CM,69,Portland Timbers,MLS,Paraguay
Franco Paredes,RB;CB,69,Sarmiento,Primera División,Argentina
Park Seung Wook,RB;CB,69,Gimcheon Sangmu,K League 1,Korea Republic
Tim Parker,CB,69,New England,MLS,United States
Germán Parreño,GK,69,RC Deportivo,LALIGA HYPERMOTION,Spain
Alexandru Pașcanu,RB;CB;LB,69,FC Rapid 1923,SUPERLIGA,Romania
Felix Passlack,RB;RM,69,VfL Bochum 1848,Bundesliga,Germany
Nicolás Paz,CB;RB,69,Unión,Primera División,Argentina
Nico Paz,CAM;CM,69,Como,Serie A Enilive,Argentina
Nathan,CB,69,Sounders FC,MLS,Brazil
Marco Pellegrino,CB,69,Independiente,Primera División,Argentina
Timothée Pembélé,RB,69,Havre AC,Ligue 1 McDonald's,France
Óscar Perea,LM;LW,69,Strasbourg,Ligue 1 McDonald's,Colombia
Juan Carlos Pereira,CM;CDM;RM,69,Millonarios,Libertadores,Colombia
Raul Gustavo,CB,69,Ferencvárosi TC,Magyar Liga,Brazil
Matheus Pereira,LB,69,Santa Clara,Liga Portugal,Brazil
Gonzalo Pérez,CB;CDM,69,Lanús,Sudamericana,Uruguay
Sebastián Pérez,GK,69,Uni. Católica,Sudamericana,Chile
Danny Pérez,LM;RM;LW,69,Caracas FC,Libertadores,Venezuela
Damián Pérez,LB,69,Independiente,Primera División,Argentina
Samuele Perisan,GK,69,Empoli,Serie A Enilive,Italy
Claudiu Petrila,LW;LM;RW,69,FC Rapid 1923,SUPERLIGA,Romania
Manuel Pfeifer,LB,69,TSV Hartberg,Ö. Bundesliga,Austria
Luca Pfeiffer,ST,69,Karlsruher SC,Bundesliga 2,Germany
Rayan Philippe,ST;LM,69,Braunschweig,Bundesliga 2,France
Fafà Picault,LM;RM;ST;LW,69,Whitecaps FC,MLS,Haiti
Florian Pick,RM;LM;RW,69,1. FC Nürnberg,Bundesliga 2,Germany
Harry Pickering,LB,69,Blackburn Rovers,EFL Championship,England
Niccolò Pierozzi,RB;CB,69,Palermo,Serie BKT,Italy
Stavros Pilios,LB,69,AEK Athens,Hellas Liga,Greece
Rafael Barbosa,LW;CAM;LM,69,Farense,Liga Portugal,Portugal
Ioannis Pittas,ST,69,AIK,Allsvenskan,Cyprus
Srđan Plavšić,LM;RM;LW,69,Raków,PKO BP Ekstraklasa,Serbia
Ewoud Pletinckx,CB,69,OH Leuven,1A Pro League,Belgium
Ole Pohlmann,CM;CAM;ST,69,Rio Ave FC,Liga Portugal,Germany
Kwame Poku,RM;CAM;RW,69,Peterborough,EFL League One,Ghana
Regan Poole,CB;RB,69,Portsmouth,EFL Championship,Wales
Octavian Popescu,LW;RW;LM,69,FCSB,SUPERLIGA,Romania
Boris Popović,CB,69,Arouca,Liga Portugal,Serbia
Łukasz Poręba,CM;CDM,69,Hamburger SV,Bundesliga 2,Poland
Manolo Portanova,CM;CAM;RM,69,Reggiana,Serie BKT,Italy
Postigo,CB,69,CD Mirandés,LALIGA HYPERMOTION,Spain
Brad Potts,RB;RM,69,Preston,EFL Championship,England
Achilleas Poungouras,CB,69,Sivasspor,Trendyol Süper Lig,Greece
Ian Poveda,RM;CAM;RW,69,Sunderland,EFL Championship,Colombia
Smail Prevljak,ST,69,Hertha BSC,Bundesliga 2,Bosnia and Herzegovina
Sebastián Prieto,LB,69,Argentinos Jrs.,Sudamericana,Argentina
Louka Prip,RW;ST;RM,69,Konyaspor,Trendyol Süper Lig,Denmark
Dominik Prokop,LM;CAM;CM;LW,69,TSV Hartberg,Ö. Bundesliga,Austria
Rokas Pukštas,CM;CAM,69,Hajduk Split,Liga Hrvatska,United States
